Reg charity number,Sub charity number,Charity name,Date registered,Status,Date for financial year ending,Total income,Total spending,Charitable spending,Income generation and governance,Retained for future use,Public address,Website,Email,Telephone,Company number,What the charity does,Who the charity helps,How the charity works,
105705,0,The Michaela Foundation,28/09/2016,Up-to-date,31 December 2018,110904,125883,0,0,0,"Unit 6 Banbridge Enterprise Centre, Scarva Road, Banbridge, BT32 3QD",www.michaelafoundation.com,enquiries@michaelafoundation.com,07793742450,0,"The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science,Other charitable purposes","Children (5-13 year olds),Mental health,Parents,Unemployed/low income,Voluntary and community sector,Volunteers,Women,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Sport/recreation,Volunteer development,Youth development",
105706,0,Hope Unwrapped,21/02/2017,Up-to-date,31 May 2019,77678,77667,0,0,0,"98A Drumcroone Road, Coleraine, BT51 4ER",,,07921916565,0,"The advancement of education,The advancement of religion,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","General public,Volunteers","Education/training,Welfare/benevolent",
105707,0,Hope03,02/09/2016,Up-to-date,31 March 2019,8435,7547,0,0,0,"19 Baronscourt Manor, Carryduff, Belfast, Northern Ireland, BT8 8FF",www.hope03.org.uk,info@hope03.org.uk,02890815467,0,"The prevention or relief of poverty,The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),General public,Homelessness,Overseas/developing countries,Unemployed/low income","General charitable purposes,Medical/health/sickness,Relief of poverty",
105708,0,Castlereagh Gospel Hall,12/09/2016,Up-to-date,31 March 2019,75749,66354,0,0,0,"37 Earlswood Road, Belfast, BT4 3DZ",castlereagh.org.uk,dnelsonlogan@gmail.com,02890282642,0,The advancement of religion,"Children (5-13 year olds),General public,Men,Older people,Overseas/developing countries,Parents,Preschool (0-5 year olds),Women,Youth (14-25 year olds)","Community development,Overseas aid/famine relief,Relief of poverty,Religious activities,Youth development",
105709,0,Francis Curley Charitable Fund,07/09/2016,Up-to-date,11 December 2019,307958,34450,0,0,0,"Johnston Graham, 216-218 Holywood Road, Belfast, BT4 1PD",,,028 9065 6756,0,"The prevention or relief of poverty,The advancement of religion,The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage",Voluntary and community sector,General charitable purposes,
105710,0,Happy Days Community Childcare Centre,20/01/2017,Up-to-date,31 March 2019,573120,568652,0,0,0,"Happy Days Community Childcare, Garryduff Road, Ballymoney, BT53 7AP",www.happydayscog.co.uk,happydays001@btinternet.com,02827664254,603898,The advancement of education,"Adult training,Carers,Children (5-13 year olds),Parents,Preschool (0-5 year olds)","Education/training,Playgroup/after schools",
105711,0,The Bytes Project,21/09/2016,Up-to-date,31 March 2019,1168017,1117164,0,0,0,"Bytes, Filor Building, 155 Northumberland Street, Belfast, BT13 2JF",www.bytes.org,administrator@bytes.org,028 9028 8810,27446,The advancement of education,"Addictions (drug/solvent/alcohol abuse),Asylum seekers/refugees,Ethnic minorities,Ex-offenders and prisoners,Homelessness,Mental health,Youth (14-25 year olds)","Education/training,Youth development",
105712,0,Lower Shankill Community Association,07/12/2018,Recently registered,31 March 2020,0,0,0,0,0,"119 - 121 Shankill Road, Belfast, BT13 1FD",,l-s-c-a@btconnect.com,02890249740,0,The advancement of citizenship or community development,"Adult training,Community safety/crime prevention,Ethnic minorities,Ex-offenders and prisoners,General public,Interface communities,Men,Mental health,Older people,Parents,Sexual orientation,Specific areas of deprivation,Tenants,Unemployed/low income,Victim support,Voluntary and community sector,Volunteers,Women,Youth (14-25 year olds)","Accommodation/housing,Advice/advocacy/information,Arts,Community development,Counselling/support,Criminal justice,Cross-border/cross-community,Cultural,Disability,Education/training,Environment/sustainable development/conservation,Gender,General charitable purposes,Grant making,Heritage/historical,Human rights/equality,Medical/health/sickness,Research/evaluation,Sport/recreation,Urban development,Volunteer development,Welfare/benevolent,Youth development",
105713,0,Faith House Eventide Home,06/03/2018,Recently registered,31 December 2020,0,0,0,0,0,"47 Ballyloughlin Road, Newcastle, BT33 0QG",www.faith-house.co.uk,info@faith-house.co.uk,028 4375 1251,0,"The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage",Older people,"Accommodation/housing,Medical/health/sickness,Religious activities",
105714,0,Bangor Horticultural Society,27/10/2016,Up-to-date,31 August 2019,2951,2337,0,0,0,"8 Orchard Way, Holywood, BT18 0BE",,,02890425688,0,Other charitable purposes,General public,Education/training,
105715,0,Cosyset,08/09/2016,Removed,31 May 2020,0,0,0,0,0,"15 Penworth Green, Lisburn, BT28 3WW",http://cosyset.co.uk,enquiries@cosyset.co.uk,028 9267 4392,0,"The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Carers,Learning disabilities,Mental health,Older people","Advice/advocacy/information,Community development,Counselling/support,Disability,General charitable purposes,Medical/health/sickness,Welfare/benevolent",
105716,0,Loughview Training Services Ltd,10/02/2017,Up-to-date,31 March 2019,395758,415224,0,0,0,"Loughview Training Services, Ferbro Buildings, 335 Antrim Road, Newtownabbey, BT36 5DZ",www.loughviewtraining.com,info@loughviewtraining.com,02890801010,0,The advancement of education,Youth (14-25 year olds),Education/training,
105717,0,Trillick Enterprise Leisure Limited,06/12/2016,Up-to-date,31 March 2019,102234,108591,0,0,0,"15 Gargadis Road, Trillick, Omagh, BT78 3NX",,,028 89561333,31119,Other charitable purposes,General public,"Community development,Community enterprise,Education/training,Rural development,Sport/recreation,Youth development",
105719,0,Shalom House Community Resource,29/09/2016,Removed,31 March 2019,44933,53608,0,0,0,"32 Windermere Gardens, Belfast, BT15 5EN",www.shalomhouse.org.uk,liam@shalomhouse.org.uk,028 9037 1107,42199,The advancement of citizenship or community development,"Addictions (drug/solvent/alcohol abuse),General public,Interface communities,Parents,Preschool (0-5 year olds)","Counselling/support,Education/training,Playgroup/after schools",
105720,0,Newry & Mourne Deaf Club,30/11/2016,Up-to-date,31 August 2018,2913,2949,0,0,0,"8 Greendale Crescent, Newry, BT34 3HF",,laurence.mallon@btinternet.com,028302 61022,0,"The advancement of education,The advancement of religion,Other charitable purposes","Adult training,General public,Language community,Sensory disabilities","Advice/advocacy/information,Disability,Education/training",
105721,0,Comrades Support Group,24/04/2017,In default,31 March 2020,0,0,0,0,0,"8 Tullyleek Road, Dungannon, BT70 3BA",http://branches.britishlegion.org.uk/branches/dungannon,veteransgroup8@yahoo.com,07795838026,0,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage,Other charitable purposes","Men,Older people,Women","Education/training,General charitable purposes",
105722,0,Helping Hands Autism Support Group,30/09/2016,Up-to-date,31 March 2019,88114,77929,0,0,0,"85 Kinross Avenue, Belfast, BT5 7GF",www.helpinghandsautism.com,hello@helpinghandsautism.com,07889 542960,0,"The advancement of education,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage,Other charitable purposes","Adult training,Carers,Children (5-13 year olds),Learning disabilities,Mental health,Parents,Preschool (0-5 year olds),Sensory disabilities,Voluntary and community sector,Volunteers,Youth (14-25 year olds)","Community development,Disability,General charitable purposes,Playgroup/after schools,Volunteer development,Youth development",
105725,0,Northern Ireland Rural Women's Network (Nirwn),10/11/2016,Up-to-date,31 March 2019,73177,68566,0,0,0,"Unit 13 A, 8 Beechvalley Way, Ballysaggart, Dungannon, BT70 1BS",www.nirwn.org,louise@nirwn.org,07999590302,60834,"The prevention or relief of poverty,The advancement of citizenship or community development","Voluntary and community sector,Women","Advice/advocacy/information,Community development,Education/training,Gender,General charitable purposes,Rural development",
105727,0,Irish Methodist Ministers Housing Society Limited,26/07/2017,Up-to-date,30 September 2019,78835,42822,0,0,0,"3 Hillcrest, Lisburn, BT28 3LJ",,,07711 928786,0,The prevention or relief of poverty,Older people,Accommodation/housing,
105728,0,Twisters Gymnastics Ltd,21/09/2017,Up-to-date,31 March 2019,173534,181517,0,0,0,"7 Daisyhill Park, Londonderry, BT48 8EZ",www.twistersgymnastics.co.uk,twistersgym@outlook.com,07507067355,609639,The advancement of amateur sport,"Children (5-13 year olds),Preschool (0-5 year olds),Volunteers,Women,Youth (14-25 year olds)","Cross-border/cross-community,Education/training,Playgroup/after schools,Sport/recreation,Volunteer development,Youth development",
105729,0,Home-Start Clogher Valley,19/09/2016,Removed,27 August 2019,25566,31622,0,0,0,"74A Main Street, Augher, BT77 0BG",,,02885549898,54662,"The prevention or relief of poverty,The advancement of education,The advancement of education,The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Carers,Ethnic minorities,Learning disabilities,Men,Mental health,Parents,Preschool (0-5 year olds),Unemployed/low income,Voluntary and community sector,Volunteers,Women","Advice/advocacy/information,Community development,Disability,Education/training,Medical/health/sickness,Relief of poverty,Research/evaluation,Volunteer development,Welfare/benevolent",
105730,0,Acts Ministries,22/09/2016,In default,05 April 2018,92472,84576,0,0,0,"53 Locksley Park, Belfast, BT10 0AS",actsministries.co.uk,artomson@hotmail.com,07585117739,0,"The prevention or relief of poverty,The advancement of education,The advancement of education,The advancement of religion,The advancement of health or the saving of lives,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),Learning disabilities,Overseas/developing countries,Physical disabilities,Preschool (0-5 year olds),Voluntary and community sector","Education/training,Grant making,Medical/health/sickness,Overseas aid/famine relief,Relief of poverty,Religious activities",
105731,0,Vasculitis Ireland Awareness,17/10/2016,Up-to-date,31 December 2018,4889,4986,0,0,0,"45 Castle Street, Downpatrick, BT30 7QQ",www.vasculitis-ia.org,julie@vasculitis-ia.org,028 44 842889,0,"The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Carers,Men,Mental health,Older people,Parents,Physical disabilities,Sensory disabilities,Women","Advice/advocacy/information,Counselling/support,Cross-border/cross-community,Disability,Education/training,Medical/health/sickness,Research/evaluation",
105732,0,Home-Start Omagh District,27/10/2016,Up-to-date,31 March 2019,37663,41647,0,0,0,"Macca Resource Centre, 21A Knockshee Park, Omagh, BT79 7PH",,homestartomagh@btconnect.com,02882247223,54971,"The prevention or relief of poverty,The advancement of education,The advancement of education,The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Carers,Children (5-13 year olds),Ethnic minorities,Interface communities,Learning disabilities,Men,Mental health,Parents,Preschool (0-5 year olds),Sensory disabilities,Travellers,Unemployed/low income,Victim support,Voluntary and community sector,Volunteers,Women,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Disability,Education/training,Medical/health/sickness,Playgroup/after schools,Relief of poverty,Volunteer development,Welfare/benevolent",
105734,0,Home-Start Lisburn/Colin,19/10/2016,Up-to-date,31 March 2019,80910,85727,0,0,0,"Home Start, 12 Bow Lane, Lisburn, BT28 1FL",homestartlisburn.org.uk,homestartlisburn@btconnect.com,028 92628585,73798,"The prevention or relief of poverty,The advancement of education,The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Carers,Ethnic minorities,Interface communities,Learning disabilities,Men,Mental health,Parents,Preschool (0-5 year olds),Sensory disabilities,Unemployed/low income,Volunteers,Women","Advice/advocacy/information,Disability,Education/training,Medical/health/sickness,Playgroup/after schools,Relief of poverty,Research/evaluation,Volunteer development,Welfare/benevolent",
105735,0,Housing Rights,28/11/2016,Up-to-date,31 March 2019,1509501,1600674,0,0,0,"Housing Rights, The Skainos Centre, 239 Newtownards Road, Belfast, BT4 1AF",www.housingrights.org.uk,,028 9026 7911,21018,"The prevention or relief of poverty,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage",General public,"Advice/advocacy/information,Relief of poverty,Welfare/benevolent",
105736,0,Ni At Play,19/10/2016,Up-to-date,31 March 2019,2136,2887,0,0,0,"19 Ashgrove Crescent, Craigavon, BT67 9EF",www.niatplay.com,info@niatplay.com,07732 641215,601662,"The advancement of education,The advancement of citizenship or community development","Adult training,Children (5-13 year olds)",Education/training,
105737,0,Abc Day Nursery,08/11/2016,In default,30 September 2020,0,0,0,0,0,"Abc Day Nursery, Building 643, Off Crumlin Road, Aldergrove, Crumlin, BT29 4BN",,sandraphilpabc@btconnect.com,02894 455443,0,The advancement of education,"Children (5-13 year olds),Ethnic minorities,General public,Learning disabilities,Parents,Physical disabilities,Preschool (0-5 year olds),Sensory disabilities,Voluntary and community sector","Education/training,Playgroup/after schools",
